ckpt,alpha,w_i,w_j,d_sg,d_grid_avg,d_sum_alpha
1,0.3,0,0,18.92979335784912,10.242602288355062,-0.308631032705307
1,0.5,0,0,18.92979335784912,10.242602288355062,-0.308631032705307
1,0.7,1,3,18.92979335784912,10.242602288355062,2.234668731689453
2,0.3,1,6,200220.3126411438,194184.52295977392,156217.25690841675
2,0.5,0,5,200220.3126411438,194184.52295977392,150107.20746040344
2,0.7,0,6,200220.3126411438,194184.52295977392,153788.183095932
5,0.3,1,6,442338.8782463074,429259.229370805,351765.89438819885
5,0.5,0,5,442338.8782463074,429259.229370805,339469.05517435074
5,0.7,0,7,442338.8782463074,429259.229370805,363058.42671871185
10,0.3,1,6,1017808.9122314453,982379.1681806769,766916.1247386932
10,0.5,0,5,1017808.9122314453,982379.1681806769,758840.522529602
10,0.7,0,7,1017808.9122314453,982379.1681806769,826930.2480926514
15,0.3,1,6,1687122.6330947876,1629747.1766924122,1266297.3164100647
15,0.5,0,5,1687122.6330947876,1629747.1766924122,1269996.3652420044
15,0.7,0,7,1687122.6330947876,1629747.1766924122,1373580.7040786743
20,0.3,1,6,1221379.7935409546,1200351.0853943955,1083149.2417298555
20,0.5,0,5,1221379.7935409546,1200351.0853943955,971148.1377437115
20,0.7,0,7,1221379.7935409546,1200351.0853943955,1002741.8457620144
30,0.3,1,6,1149970.351989746,1128512.9958116175,1008944.9958190918
30,0.5,0,5,1149970.351989746,1128512.9958116175,950127.5847015381
30,0.7,0,7,1149970.351989746,1128512.9958116175,963528.7514381409
40,0.3,1,6,1406705.9972794056,1382515.065658782,1268388.0125746727
40,0.5,0,5,1406705.9972794056,1382515.065658782,1144768.9650676847
40,0.7,0,7,1406705.9972794056,1382515.065658782,1165549.8757534027
45,0.3,1,6,1450748.3728663921,1424800.9525081457,1318700.7369146347
45,0.5,0,5,1450748.3728663921,1424800.9525081457,1171490.442852497
45,0.7,0,7,1450748.3728663921,1424800.9525081457,1203305.2903375626
50,0.3,1,6,1390175.7050571442,1365901.1216108794,1260779.0320329666
50,0.5,0,5,1390175.7050571442,1365901.1216108794,1115206.6632137299
50,0.7,0,7,1390175.7050571442,1365901.1216108794,1147632.9227437973
60,0.3,1,6,1649687.745291233,1620258.406183125,1521349.6962969303
60,0.5,0,5,1649687.745291233,1620258.406183125,1298958.7387149334
60,0.7,0,7,1649687.745291233,1620258.406183125,1352022.3304333687
70,0.3,1,6,1506469.8976860046,1477444.6407324483,1381809.7167291641
70,0.5,0,5,1506469.8976860046,1477444.6407324483,1160061.7997398376
70,0.7,0,7,1506469.8976860046,1477444.6407324483,1219061.508983612
80,0.3,1,6,1246662.8409309387,1222868.0873133063,1145328.4232053757
80,0.5,0,5,1246662.8409309387,1222868.0873133063,949555.1589584351
80,0.7,0,7,1246662.8409309387,1222868.0873133063,998762.7286205292
90,0.3,1,6,1065175.3756885529,1047435.1043706787,990416.0144729614
90,0.5,0,5,1065175.3756885529,1047435.1043706787,815858.9161338806
90,0.7,0,7,1065175.3756885529,1047435.1043706787,854195.4395828247
100,0.3,1,6,724938.9765396118,724593.7027531201,723880.2218742371
100,0.5,1,8,724938.9765396118,724593.7027531201,689382.3364810944
100,0.7,0,7,724938.9765396118,724593.7027531201,602008.2447872162
