ckpt,alpha,w_i,w_j,d_sg,d_grid_avg,d_sum_alpha
1,0.3,1,0,21.234268188476562,5.714993221524321,-12.196366786956787
1,0.5,1,1,21.234268188476562,5.714993221524321,-12.270648717880249
1,0.7,1,4,21.234268188476562,5.714993221524321,-0.8343820571899414
5,0.3,1,6,293413.7108669281,285845.57357242214,226893.1041173935
5,0.5,0,5,293413.7108669281,285845.57357242214,224698.48165225983
5,0.7,0,7,293413.7108669281,285845.57357242214,239200.05047416687
10,0.3,1,6,957374.811416626,927424.1510850181,711561.5353889465
10,0.5,0,5,957374.811416626,927424.1510850181,719872.7185592651
10,0.7,0,7,957374.811416626,927424.1510850181,777435.4502029419
20,0.3,1,7,395660.46509552,394775.18084015354,349818.65416145325
20,0.5,0,5,395660.46509552,394775.18084015354,370933.6136627197
20,0.7,0,7,395660.46509552,394775.18084015354,342609.0641479492
30,0.3,0,5,510000.78376579285,500356.263618552,386809.5523490906
30,0.5,0,6,510000.78376579285,500356.263618552,389909.25466918945
30,0.7,0,7,510000.78376579285,500356.263618552,414277.8004980087
40,0.3,2,8,1139789.9841766357,1112898.4325640348,1111781.389439106
40,0.5,0,6,1139789.9841766357,1112898.4325640348,860573.2877216339
40,0.7,0,7,1139789.9841766357,1112898.4325640348,914985.2218790054
45,0.3,2,8,1389186.71678257,1356715.3342112105,1305944.350818634
45,0.5,0,6,1389186.71678257,1356715.3342112105,1023820.8862161636
45,0.7,0,7,1389186.71678257,1356715.3342112105,1103437.0901851654
50,0.3,0,5,1950388.112159729,1900047.2806960559,1372289.7411499023
50,0.5,0,6,1950388.112159729,1900047.2806960559,1365782.0824750662
50,0.7,0,7,1950388.112159729,1900047.2806960559,1466380.948560238
60,0.3,0,5,2119461.405593872,2070366.2321523987,1513920.1915245056
60,0.5,0,6,2119461.405593872,2070366.2321523987,1514676.2641296387
60,0.7,0,7,2119461.405593872,2070366.2321523987,1618628.3530654907
70,0.3,0,5,2100848.230194092,2045190.402805681,1397916.3968849182
70,0.5,0,6,2100848.230194092,2045190.402805681,1371101.1030197144
70,0.7,0,7,2100848.230194092,2045190.402805681,1428234.2314224243
80,0.3,0,5,2610089.45369339,2547102.1538739265,2014385.8272447586
80,0.5,0,6,2610089.45369339,2547102.1538739265,1973634.2689094543
80,0.7,0,7,2610089.45369339,2547102.1538739265,2041410.2973632812
90,0.3,0,5,2326841.522956848,2281305.8605321925,1804584.8565969467
90,0.5,0,6,2326841.522956848,2281305.8605321925,1762035.602853775
90,0.7,0,7,2326841.522956848,2281305.8605321925,1830530.0776557922
100,0.3,0,5,2495226.036491394,2445304.124979344,1926306.5889377594
100,0.5,0,6,2495226.036491394,2445304.124979344,1865637.7500991821
100,0.7,0,7,2495226.036491394,2445304.124979344,1955566.3335971832
120,0.3,0,5,2302033.1862888336,2247162.112252435,1727533.7976517677
120,0.5,0,6,2302033.1862888336,2247162.112252435,1712714.2740507126
120,0.7,0,7,2302033.1862888336,2247162.112252435,1864077.7880306244
140,0.3,0,6,1226011.604429245,1207548.1501213154,921919.8740916252
140,0.5,0,7,1226011.604429245,1207548.1501213154,947943.3820867538
140,0.7,0,8,1226011.604429245,1207548.1501213154,1071963.7402133942
160,0.3,0,6,1255019.9860229492,1234540.8245798545,905775.384803772
160,0.5,0,7,1255019.9860229492,1234540.8245798545,941558.0901432037
160,0.7,0,8,1255019.9860229492,1234540.8245798545,1081302.8371582031
180,0.3,0,5,1340891.6256446838,1312225.2378877148,1172381.6380252838
180,0.5,0,7,1340891.6256446838,1312225.2378877148,888948.638595581
180,0.7,0,8,1340891.6256446838,1312225.2378877148,1154860.0558700562
200,0.3,0,6,1153842.4431066513,1137577.9086643849,953432.2187575102
200,0.5,0,7,1153842.4431066513,1137577.9086643849,921014.5986585617
200,0.7,0,8,1153842.4431066513,1137577.9086643849,1024305.1440372467
220,0.3,0,6,1073019.5167999268,1060671.0412199383,792105.4324474335
220,0.5,0,7,1073019.5167999268,1060671.0412199383,791278.5163669586
220,0.7,0,7,1073019.5167999268,1060671.0412199383,791278.5163669586
240,0.3,0,8,9.285428881645203,6.694347384788188,8.77973210811615
240,0.5,0,8,9.285428881645203,6.694347384788188,8.77973210811615
240,0.7,0,8,9.285428881645203,6.694347384788188,8.77973210811615
