ckpt,alpha,w_i,w_j,d_sg,d_grid_avg,d_sum_alpha
1,0.3,1,1,-1.6395435333251953,-6.44179802654702,-15.701054334640503
1,0.5,1,2,-1.6395435333251953,-6.44179802654702,-14.792419195175171
1,0.7,2,4,-1.6395435333251953,-6.44179802654702,-12.193141460418701
2,0.3,0,4,77048.63050842285,74045.31923643517,52815.21799850464
2,0.5,1,8,77048.63050842285,74045.31923643517,53506.82425117493
2,0.7,0,7,77048.63050842285,74045.31923643517,59724.92119598389
5,0.3,1,7,170918.2445793152,167925.51277346959,140179.46751594543
5,0.5,0,6,170918.2445793152,167925.51277346959,129237.66775131226
5,0.7,0,7,170918.2445793152,167925.51277346959,135595.85830259323
10,0.3,1,8,128535.44985198975,127748.79857263355,112805.68397903442
10,0.5,0,6,128535.44985198975,127748.79857263355,111393.02834320068
10,0.7,0,7,128535.44985198975,127748.79857263355,100029.19258880615
15,0.3,1,8,161945.67238235474,159653.06758031156,151182.54849338531
15,0.5,0,6,161945.67238235474,159653.06758031156,133566.8737373352
15,0.7,0,7,161945.67238235474,159653.06758031156,130285.50351715088
20,0.3,1,7,331858.9432477951,328497.5510897232,308300.6556921005
20,0.5,1,8,331858.9432477951,328497.5510897232,289228.0348291397
20,0.7,0,8,331858.9432477951,328497.5510897232,283180.2057437897
30,0.3,1,7,268145.8102531433,263355.2775378051,287381.47534942627
30,0.5,1,8,268145.8102531433,263355.2775378051,263083.105232358
30,0.7,0,8,268145.8102531433,263355.2775378051,52414.582839012146
40,0.3,1,7,566798.9353313446,565089.3649429576,537001.4108190536
40,0.5,1,8,566798.9353313446,565089.3649429576,505887.0318622589
40,0.7,0,7,566798.9353313446,565089.3649429576,482027.79161930084
45,0.3,1,7,703382.5771560669,698080.239166118,645753.5228185654
45,0.5,1,8,703382.5771560669,698080.239166118,615530.6860237122
45,0.7,0,7,703382.5771560669,698080.239166118,588608.7180480957
50,0.3,1,7,788167.0270805359,781061.4360714122,728078.9824466705
50,0.5,1,8,788167.0270805359,781061.4360714122,719676.5071468353
50,0.7,0,7,788167.0270805359,781061.4360714122,658241.2552547455
60,0.3,1,7,931242.2606468201,939117.3162737429,951563.1743488312
60,0.5,0,6,931242.2606468201,939117.3162737429,966688.0804157257
60,0.7,0,7,931242.2606468201,939117.3162737429,956319.3435630798
70,0.3,0,5,73357.83322811127,73575.75371846925,67456.20415103436
70,0.5,0,6,73357.83322811127,73575.75371846925,61544.697190105915
70,0.7,0,7,73357.83322811127,73575.75371846925,62332.63734591007
80,0.3,0,5,7.961174368858337,146.25749586320217,1.2706809043884277
80,0.5,0,6,7.961174368858337,146.25749586320217,2.6403117179870605
80,0.7,0,7,7.961174368858337,146.25749586320217,2.0193088054656982
90,0.3,2,6,11.561679363250732,110.47855752025858,36.36642408370972
90,0.5,0,6,11.561679363250732,110.47855752025858,3.1128830909729004
90,0.7,0,7,11.561679363250732,110.47855752025858,4.147685527801514
100,0.3,1,2,12.447217464447021,683.4347010471938,27.21779429912567
100,0.5,0,5,12.447217464447021,683.4347010471938,10.212900698184967
100,0.7,0,7,12.447217464447021,683.4347010471938,8.23499846458435
