ckpt,alpha,w_i,w_j,d_sg,d_grid_avg,d_sum_alpha
1,0.3,0,0,5.605705261230469,-12.295080891361943,-32.604164838790894
1,0.5,1,1,5.605705261230469,-12.295080891361943,-31.74062705039978
1,0.7,2,4,5.605705261230469,-12.295080891361943,-19.3803768157959
5,0.3,0,4,107225.44091796875,104923.41675468948,97898.76367855072
5,0.5,1,8,107225.44091796875,104923.41675468948,82435.73573875427
5,0.7,0,7,107225.44091796875,104923.41675468948,85377.54724693298
10,0.3,0,5,21265.899574279785,20928.52355696362,19781.64785194397
10,0.5,0,6,21265.899574279785,20928.52355696362,18137.865858078003
10,0.7,0,7,21265.899574279785,20928.52355696362,18458.765922546387
15,0.3,0,5,23039.50576019287,23058.371560155956,20985.505558013916
15,0.5,0,6,23039.50576019287,23058.371560155956,19987.230152130127
15,0.7,0,7,23039.50576019287,23058.371560155956,19508.055198669434
20,0.3,0,4,20612.985389709473,21062.480619950795,21249.376276016235
20,0.5,0,6,20612.985389709473,21062.480619950795,18156.996326446533
20,0.7,0,7,20612.985389709473,21062.480619950795,17420.717727661133
30,0.3,0,5,55412.42483520508,54686.06367966772,61339.784687042236
30,0.5,0,6,55412.42483520508,54686.06367966772,45339.147605895996
30,0.7,0,7,55412.42483520508,54686.06367966772,42811.80377960205
40,0.3,0,5,78900.64290618896,76910.56605045276,69493.48652267456
40,0.5,0,6,78900.64290618896,76910.56605045276,65055.6813621521
40,0.7,0,8,78900.64290618896,76910.56605045276,58281.5594329834
50,0.3,1,7,6416.529083251953,7782.901066277866,6391.10187625885
50,0.5,0,8,6416.529083251953,7782.901066277866,8275.215877532959
50,0.7,1,8,6416.529083251953,7782.901066277866,6301.109859466553
60,0.3,1,7,8433.452209472656,10275.528711822943,7171.006239891052
60,0.5,0,8,8433.452209472656,10275.528711822943,6362.251131534576
60,0.7,1,8,8433.452209472656,10275.528711822943,8775.1380443573
70,0.3,1,7,7465.220916748047,8279.976556142976,5253.221308708191
70,0.5,0,8,7465.220916748047,8279.976556142976,6144.691299438477
70,0.7,1,8,7465.220916748047,8279.976556142976,7326.750547409058
80,0.3,0,4,4.20038628578186,292.580758601795,3.2208163738250732
80,0.5,0,6,4.20038628578186,292.580758601795,4.669634580612183
80,0.7,0,7,4.20038628578186,292.580758601795,5.808096647262573
90,0.3,0,3,-3.2772321701049805,-34.400601465392995,-4.5008222460746765
90,0.5,0,7,-3.2772321701049805,-34.400601465392995,-4.011978030204773
90,0.7,0,8,-3.2772321701049805,-34.400601465392995,-0.36721086502075195
100,0.3,0,3,0.1699371337890625,-129.1363169763835,-2.634816527366638
100,0.5,0,3,0.1699371337890625,-129.1363169763835,-2.634816527366638
100,0.7,0,8,0.1699371337890625,-129.1363169763835,0.40226995944976807
110,0.3,0,3,-0.7053656578063965,-37.46157852256739,-2.556835651397705
110,0.5,0,6,-0.7053656578063965,-37.46157852256739,-0.9303960800170898
110,0.7,0,8,-0.7053656578063965,-37.46157852256739,2.0170429348945618
120,0.3,1,4,-0.29527711868286133,130.08284778267512,3.2262980937957764
120,0.5,0,4,-0.29527711868286133,130.08284778267512,-1.115450382232666
120,0.7,0,8,-0.29527711868286133,130.08284778267512,-0.43646907806396484
130,0.3,0,8,4.851758748292923,260.91217706600827,5.6524050533771515
130,0.5,0,8,4.851758748292923,260.91217706600827,5.6524050533771515
130,0.7,0,8,4.851758748292923,260.91217706600827,5.6524050533771515
