ckpt,alpha,w_i,w_j,d_sg,d_grid_avg,d_sum_alpha
1,0.3,3,3,-1.0477781295776367,5.221631532611926,-0.26728391647338867
1,0.5,5,5,-1.0477781295776367,5.221631532611926,-1.0477781295776367
1,0.7,7,7,-1.0477781295776367,5.221631532611926,-1.3171920776367188
5,0.3,8,8,208.04629707336426,188.4176962234326,153.51806354522705
5,0.5,9,9,208.04629707336426,188.4176962234326,144.5586395263672
5,0.7,9,9,208.04629707336426,188.4176962234326,144.5586395263672
10,0.3,6,7,-19.344463348388672,-63.05036463301383,-39.94285774230957
10,0.5,9,9,-19.344463348388672,-63.05036463301383,-4.714502036571503
10,0.7,9,9,-19.344463348388672,-63.05036463301383,-4.714502036571503
20,0.3,9,8,28794.613481521606,28982.929034763132,18656.64415049553
20,0.5,8,8,28794.613481521606,28982.929034763132,24296.448093414307
20,0.7,9,9,28794.613481521606,28982.929034763132,24765.637435913086
30,0.3,9,8,110839.43637657166,113983.72747065226,74619.3905210495
30,0.5,8,8,110839.43637657166,113983.72747065226,87875.81380367279
30,0.7,9,9,110839.43637657166,113983.72747065226,94766.5135345459
40,0.3,9,8,-34313.24243354797,28568.179374760093,-23034.718852996826
40,0.5,8,8,-34313.24243354797,28568.179374760093,-26891.694071769714
40,0.7,7,8,-34313.24243354797,28568.179374760093,-30829.114201545715
45,0.3,9,8,11827.455741882324,77413.81831368746,10539.378303527832
45,0.5,8,8,11827.455741882324,77413.81831368746,14256.902355194092
45,0.7,9,9,11827.455741882324,77413.81831368746,14437.86351776123
50,0.3,9,8,120796.14617919922,177544.1035499095,113209.02718353271
50,0.5,8,8,120796.14617919922,177544.1035499095,122127.82049560547
50,0.7,9,9,120796.14617919922,177544.1035499095,128461.02584838867
60,0.3,9,8,146521.92749404907,256075.54625440383,137231.76238894463
60,0.5,8,8,146521.92749404907,256075.54625440383,146336.78379058838
60,0.7,9,9,146521.92749404907,256075.54625440383,148571.38612747192
70,0.3,9,8,229925.61283111572,221514.6870185159,221466.57899856567
70,0.5,10,9,229925.61283111572,221514.6870185159,178942.6775817871
70,0.7,9,9,229925.61283111572,221514.6870185159,199224.9280090332
